center	294319118	shopping ***, convention ***, civic ***, garment ***, Lincoln *** for the Performing Arts, Rockefeller ***	A place where the greater part of some function or activity occurs.
store	291308910	This building used to be a *** for old tires.	A place where items may be accumulated or routinely kept.
travel	287719294	I’m off on my ***s around France again.	(in the plural) A series of journeys.
development	286291411	The *** of this story has been slow.	The process of developing; growth, directed change.
member	283858893	The I-beams were to become structural ***s of a pedestrian bridge.	A part of a whole.
line	280009597	The arrow descended in a curved ***.	A path through two or more points (compare ‘segment’); a continuous mark, including as made by a pen; any path, curved or straight.
right	273620358	a *** line	Straight, not bent.
type	272336859	This *** of plane can handle rough weather more easily than that *** of plane.	A grouping based on shared characteristics; a class.
local	270742935	It's easy to tell the ***s from the tourists.	A person who lives near a given place.
office	266789622	When the *** of Secretary of State is vacant, its duties fall upon an official within the department.	A position of responsibility.
education	266738068	2016-06-17 AROP JOSEPH "*** is the slight hammer that breaks the yoke of ignorance, and moulds knowledge, skills, ideas, good moral values in a person be it a child, a youth or full grown adult. no matter a persons age learning never stops".	The process of imparting knowledge, skill and judgment.
national	266376620	The diplomats were advised not to interact with any foreign ***s except on official duty.	A subject of a nation.
car	264720374	She drove her *** to the mall.	A wheeled vehicle that moves independently, with at least three wheels, powered mechanically, steered by a driver and mostly for personal transportation.
design	264448339	To be hateful of the truth by ***.	Intention or plot.
take	264349801	What's your *** on this issue, Fred?	An interpretation or view, opinion or assessment; perspective.
community	261839117	a *** of goods	Common enjoyment or possession; participation.
area	259871557	The photo is a little dark in that ***.	Any particular extent of surface, especially an empty or unused extent.
shipping	256521328	The ***' is included in the quoted price.	The cost of sending an item or package via postal services.
subject	256217838	He's *** to sneezing fits.	Likely to be affected by or to experience something.
forum	254478181	Trish was an admin on three ***s, and had no trouble at all when it came to moderating them.	An Internet message board where users can post messages regarding one or more topics of discussion.
family	254164055	Our company is one big happy ***.	A (close-knit) group of people related by blood, friendship, marriage, law, or custom, especially if they live or work together.
code	250245121	This flavour of soup has been assigned the *** WRT-9.	A short symbol, often with little relation to the item it represents.
show	247541986	art ***;  dog ***	An exhibition of items.
check	244491090	I don't know if she will be there, but it's worth a ***.	An inspection or examination.
special	244311841	We're running a *** on turkey for Thanksgiving.	A reduction in consumer cost (usually for a limited time) for items or services rendered.
index	242826246	The *** of a book lists words or expressions and the pages of the book upon which they are to be found.	An alphabetical listing of items and their location.
sign	242290578	I gave them a thumbs-up ***.	(sometimes also used uncountably) A visible indication.
file	241864251	I'm going to delete these unwanted ***s to free up some disk space.	An aggregation of data on a storage device, identified by a name.
link	240402653	Click the hyper*** to go to the next page.	Some text or a graphic in an electronic document that can be activated to display another document or trigger an action.
open	239670331	an *** hand; an *** flower	Not physically drawn together, closed, folded or contracted; extended
today	239271204	*** is the day we'll fix this once and for all.	A current day or date.
case	235563000	For a change, in this ***, he was telling the truth.	An actual event, situation, or fact.
project	235262594	***s like Pruitt-Igoe were considered irreparably dangerous and demolished.	(usually in the plural) An urban low-income housing building.
version	232445953	It's only in the King James *** of the Bible.	A translation from one language to another.
found	232005894	I *** my car keys. They were under the couch.	To encounter or discover something being searched for; to locate.
house	231310420	This is my *** and my family's ancestral home.	A structure built or serving as an abode of human beings.
game	227111505	He's in the securities *** somehow.	(nearly always singular) A field of gainful activity, as an industry or profession.
power	226596368	the mechanical ***s	Any of the elementary forms or parts of machines: three primary (the lever, inclined plane, and pulley) and three secondary (the wheel-and-axle, wedge, and screw).
care	225326739	*** should be taken when holding babies.	Close attention; concern; responsibility.
network	225218991	A *** of roads crisscrossed the country.	Any interconnected group or system
total	222649459	A *** of £145 was raised by the bring-and-buy stall.	An amount obtained by the addition of smaller amounts.
place	220970235	I'm in a strange *** at the moment.	A frame of mind.
end	220812328	At the *** of the road, turn left.	The terminal point of something in space or time.
download	220626128	The *** took longer than I expected.	A file transfer to the local computer.
north	217809513	Stock prices are heading ***.	The up or positive direction.
law	216122487	entrapment is against the ***	The body of binding rules and regulations, customs and standards established in a community by its legislative and judicial authorities.
control	215560453	The government has complete *** over the situation.	Influence or authority over something.
water	215178488	By the action of electricity, the *** was resolved into its two parts, oxygen and hydrogen.	A substance (of molecular formula H₂O) found at room temperature and pressure as a clear liquid; it is present naturally as rain, and found in rivers, lakes and seas; its solid form is ice and its gaseous form is steam.
history	215000515	*** repeats itself if we don’t learn from its mistakes.	The aggregate of past events.
size	214844153	The *** of the building seemed to have increased since I was last there.	The dimensions or magnitude of a thing; how big something is.
art	214702696	There is a debate as to whether graffiti is *** or vandalism.	The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium.
board	212361059	Room and ***	Regular meals or the amount paid for them in a place of lodging.
change	210601244	The product is undergoing a *** in order to improve it.	The process of becoming different.
text	208780080	German ***	A style of writing in large characters; also, a kind of type used in printing.
rating	207858692	She is rated fourth in the country.	To assign or be assigned a particular rank or level.
rate	207634179	At the height of his powers, he was producing pictures at the *** of four a year.	The proportional relationship between one amount, value etc. and another.
government	206582673	If the citizens must follow the law, then the *** must follow the constitution.	The state and its administration viewed as the ruling political power.
return	205629763	a *** to one's question	An answer.
shopping	204104275	He’s *** for clothes.	To visit stores or shops to browse or explore merchandise, especially with the intention of buying such merchandise.
account	203611349	to keep one's *** at the bank.	A sum of money deposited at a bank and subject to withdrawal.
level	202563642	By the end of the day, we'd dug down to the *** of the old basement floor.	A distance relative to a given reference elevation.
profile	201854745	His fingers traced the *** of the handle.	The outermost shape, view, or edge of an object.
form	201395192	To apply for the position, complete the application ***.	A blank document or template to be filled in by the user.
love	201063526	Hello ***, how can I help you?	A term of friendly address, regardless of feelings.
old	199694226	when he was an eight-year-*** ; a 62-year-*** should	(in combination) One of a specified age.
call	199608869	I received several ***s today.	A telephone conversation.
image	197874283	The Bible forbids the worship of graven ***s.	An optical or other representation of a real object; a graphic; a picture.
department	197293325	Technical things are not his ***; he's a people person.	A distinct course of life, action, study, or the like.
title	196676017	a good *** to an estate, or an imperfect ***	Legal right to ownership of a property; a deed or other certificate proving this.
description	196301245	The zoo had no lions, tigers, or cats of any ***.	A set of characteristics by which someone or something can be recognized.
insurance	193271293	The car was totalled, but fortunately I had ***.	A means of indemnity against a future occurrence of an uncertain event.
property	191783393	Important types of *** include real *** (land), personal *** (other physical possessions), and intellectual *** (rights over artistic creations, inventions, etc.).	Something that is owned.
class	191087771	Often used to imply membership of a large ***.	A group, collection, category or set sharing characteristics or attributes.
money	190205072	Before colonial times cowry shells imported from Mauritius were used as *** in Western Africa.	A generally accepted means of exchange and measure of value.
quality	189509533	*** of life is usually determined by health, education, and income.	Level of excellence.
listing	188985252	to list a door	To cover with list, or with strips of cloth; to put list on; to stripe as if with list.
little	187142519	Can I try a *** of that sauce?	A small amount.
save	186091095	The goaltender made a great ***.	In various sports, a block that prevents an opponent from scoring.
low	184815478	Unemployment has reached a ten-year ***.	The minimum value attained by some quantity within a specified period.
customer	184406888	Every person who passes by is a potential ***.	A patron, a client; one who purchases or receives a product or service from a business or merchant, or intends to do so.
college	182545426	*** of Cardinals, *** of Surgeons	(in some proper nouns) A group sharing common purposes or goals.
value	182061247	The Shakespearean Shylock is of dubious *** in the modern world.	The quality (positive or negative) that renders something desirable or valuable.
article	181969355	a sales ***	An object, a member of a group or class.
man	181445531	Some people prefer apple pie, but me, I’m a cherry pie ***.	A male enthusiast or devotee; a male who is very fond of or devoted to a specified kind of thing. (Used as the last element of a compound.)
card	181387042	He accused them of playing the race ***.	A resource or an argument, used to achieve a purpose.
food	180144029	The innkeeper brought them *** and drink.	Any solid substance that can be consumed by living organisms, especially by eating, in order to sustain life.
source	179963886	The accused refused to reveal the *** of the illegal drugs she was selling.	The person, place or thing from which something (information, goods, etc.) comes or is acquired.
author	179813446	Have you read any Corinthian ***s?	The originator or creator of a work, especially of a literary composition.
press	179652730	Stop the ***es!	A printing machine.
print	178250872	Write in *** using block letters.	Clear handwriting, especially, writing without connected letters as in cursive.
course	177976652	The normal *** of events seems to be just one damned thing after another.	A sequence of events.
job	177706929	A *** half done is hardly done at all.	A task.
process	176829177	This product of last month's quality standards committee is quite good, even though the *** was flawed.	A series of events which produce a result (the product).
training	176129154	She trained seven hours a day to prepare for the Olympics.	To practice an ability.
credit	175916536	He arrived five minutes late, but to his *** he did work an extra ten minutes at the end of his shift.	Recognition and respect.
point	175527859	*** de Venise; Brussels ***	Lace worked by the needle.
science	174232809	Of course in my opinion Social Studies is more of a *** than an art.	A particular discipline or branch of learning, especially one dealing with measurable or systematic principles rather than intuition or natural ability.
english	172371546	You can't hit it directly, but maybe if you give it some ***.	Spinning or rotary motion given to a ball around the vertical axis, as in billiards or bowling.
team	171687825	The IT manager leads a *** of three software developers.	Any group of people involved in the same activity, especially sports or work.
select	168673045	He looked over the menu, and ***ed the roast beef.	To choose one or more elements of a set, especially a set of options.
thread	167518537	All of these essays have a common ***.	A continued theme or idea.
week	167202060	I'll see you Thursday ***.	Seven days after (sometimes before) a specified date.
category	166811948	I wouldn't put this book in the same *** as the author's first novel.	A group, often named or numbered, to which items are assigned based on similarity or defined criteria.
note	166657334	a poet of ***	Reputation; distinction.
live	166005029	I *** at 2a Acacia Avenue.  He ***s in LA, but he's staying here over the summer.	To have permanent residence somewhere, to inhabit, to reside.
gallery	165671626	a clip-art *** in a wordprocessor	A browsable collection of images, font styles, etc.
market	162390150	The privilege to hold a weekly *** was invaluable for any feudal era burgh.	A gathering of people for the purchase and sale of merchandise at a set time, often periodic.
action	162023431	Knead bread with a rocking ***.	A way of motion or functioning.
start	161913408	The movie was entertaining from *** to finish.	The beginning of an activity.
series	161518557	A *** of seemingly inconsequential events led cumulatively to the fall of the company.	A number of things that follow on one after the other or are connected one after the other.
model	161205740	The beautiful *** had her face on the cover of almost every fashion magazine imaginable.	A person who serves as a subject for artwork or fashion, usually in the medium of photography but also for painting or drawing.
air	160850401	I'm going outside to get some ***.	The substance constituting earth's atmosphere, particularly:
industry	160812623	Over the years, their *** and business sense made them wealthy.	The tendency to work persistently. Diligence.
plan	160746244	The ***s for many important buildings were once publicly available.	A drawing showing technical details of a building, machine, etc., with unwanted details omitted, and often using symbols rather than detailed drawing to represent doors, valves, etc.
display	106342539	The trapeze artist put on an amazing acrobatic ***.	A show or spectacle.
natural	105101771	He's a *** on the saxophone.	One with an innate talent at or for something.
due	104908310	Give him his *** — he is a good actor.	Deserved acknowledgment.
period	103906182	There was a *** of confusion following the announcement.	A length of time.
planning	103878661	The architect planned the building for the client.	To design (a building, machine, etc.).
database	103731642	I have a *** of all my contacts in my personal organizer.	(general) A collection of (usually) organized information in a regular structure, usually but not necessarily in a machine-readable format accessible by a computer.
official	103521037	David Barnes was the *** charged with the running of the sports club.	An office holder invested with powers and authorities.
weather	103331913	Wooden garden furniture must be well oiled as it is continuously exposed to ***.	Unpleasant or destructive atmospheric conditions, and their effects.
land	103132933	Most insects live on ***.	The part of Earth which is not covered by oceans or other bodies of water.
average	102837602	The *** of 10, 20 and 24 is (10 + 20 + 24)/3 = 18.	The arithmetic mean.
window	102711715	To separate out the chaff, early cultures tossed baskets of grain into the air and let the wind blow away the lighter chaff.	The inedible parts of a grain-producing plant.
region	102552342	the equatorial ***s	Any considerable and connected part of a space or surface; specifically, a tract of land or sea of considerable but indefinite extent; a country; a district; in a broad sense, a place without special reference to location or extent but viewed as an entity for geographical, social or cultural reasons.
island	102316998	an *** of colors on a butterfly's wing	An entity surrounded by other entities that are very different from itself.
direct	102234090	to *** the affairs of a nation or the movements of an army	To manage, control, steer.
environment	101959294	That program uses the Microsoft Windows ***.	The software and/or hardware existing on any particular computer system.
district	101325723	the Soho *** of London	An administrative division of an area.
calendar	101303808	The three principal ***s are the Gregorian, Jewish, and Islamic ***s.	Any system by which time is divided into days, weeks, months, and years.
front	100886343	Officially it's a dry-cleaning shop, but everyone knows it's a *** for the mafia.	A person or institution acting as the public face of some other, covert group.
statement	100868970	a bank ***	A document that summarizes financial activity.
update	100765188	He gave me an *** on the situation in New York.	An advisement providing more up-to-date information than currently known.
sound	100010833	He was safe and ***.	Healthy.
resource	99964083	a man/woman of ***	A person's capacity to deal with difficulty.
word	98671341	Have you had any *** from John yet?	News; tidings (used without an article).
material	98528318	Asphalt, composed of oil and sand, is a widely used *** for roads.	Matter which may be shaped or manipulated, particularly in making something.
talk	97850837	Although I don't speak Chinese I managed to *** with the villagers using signs and gestures.	To communicate, usually by means of speech.
centre	97258243	shopping center, convention center, civic center, garment center, Lincoln Center for the Performing Arts, Rockefeller Center	A place where the greater part of some function or activity occurs.
nude	96733793	Lexa sent me a *** last week.	A painting, sculpture, photograph or other artwork or mass-media-reproduced image depicting one or more human figure(s) in a state of near or total undress.
finance	96554164	Who's really in charge of a democracy's ***s?	(usually in the plural) Monetary resources, especially those of a public entity or a company.
third	95489240	He ate a *** of the pie. Divided by two-***s.	One of three equal parts of a whole.
rock	95488543	Pearl *** near Cape Cod is so named because the morning sun makes it gleam like a pearl.	A large hill or island having no vegetation.
reading	95289449	Have you read this book?	To look at and interpret letters or other information that is written.
individual	94815082	He is an unusual ***.	A person considered alone, rather than as belonging to a group of people.
cover	94501729	The soldiers took *** behind a ruined building.	Area or situation which screens a person or thing from view.
player	92709785	He thought he could become a ***, at least at the state level.	A significant participant.
subscribe	92456246	Would you like to *** or *** a friend to our new magazine, Lexicography Illustrated?	To sign up to have copies of a publication, such as a newspaper or a magazine, delivered for a period of time.
submit	92431559	They will not *** to the destruction of their rights.	To yield or give way to another.
amount	92039679	The *** of atmospheric pollution threatens a health crisis.	The total, aggregate or sum of material (not applicable to discrete numbers or units or items in standard English).
watch	92006970	More people today carry a *** on their wrists than in their pockets.	A portable or wearable timepiece.
feel	91924001	Bark has a rough ***.	A quality of an object experienced by touch.
bank	91559349	blood ***; sperm ***; data ***	A safe and guaranteed place of storage for and retrieval of important items or goods.
risk	91486135	2006, Trever Ramsey on BBC News website, Exercise 'cuts skin cancer ***' read at http//news.bbc.co.uk/1/hi/health/4764535.stm on 14 May 2006	The probability of a negative outcome to a decision or event.
production	90612739	The widget making machine is being used for *** now.	The act of producing, making or creating something.
town	90478880	This *** is really dangerous because these youngsters have Beretta handguns.	A settlement; an area with residential districts, shops and amenities, and its own local government; especially one larger than a village and smaller than a city.
heart	90249265	The team lost, but they showed a lot of ***.	Emotions, kindness, moral effort, or spirit in general.
advertising	90210309	For personal needs, advertise on the internet or in a local newspaper.	To provide information about a person or goods and services to influence others.
choose	90010174	I chose a nice ripe apple from the fruit bowl.	To pick; to make the choice of; to select.
treatment	90001988	He still has nightmares resulting from the *** he received from his captors.	The process or manner of treating someone or something.
knowledge	89749339	His *** of Iceland was limited to what he'd seen on the Travel Channel.	The fact of knowing about something; general understanding or familiarity with a subject, place, situation etc.
girl	89139125	Your *** turned up on our doorstep.	One's daughter.
construction	88770071	*** is underway on the new bridge.	The process of constructing.
clear	88447610	a room ten feet square in the ***	Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls.
domain	88097391	The king ruled his *** harshly.	A geographic area owned or controlled by a single person or organization.
chapter	87882874	Detective novel writers try to keep up the suspense until the last ***.	(authorship) One of the main sections into which the text of a book is divided.
protection	87824220	Raincoats give *** from rain.	The process of keeping (something or someone) safe.
loan	87785549	Because of the *** that John made to me, I was able to pay my tuition for the upcoming semester.	An act or instance of lending, an act or instance of granting something for temporary use.
beauty	87572240	1988, "… *** and recollection, like danger, glamour, greed, hunger- everything but disappointment and desire- were concepts belonging to other people.” -Second Son, Robert Ferro	The quality of being (especially visually) attractive, pleasing, fine or good-looking; comeliness.
manager	87441704	a file ***; a task ***; Program ***	(computer software) A window or application whose purpose is to give the user the control over some aspect of the system.
position	87139187	Chief of Staff is the second-highest *** in the army.	A status or rank.
half	86290420	I ate the slightly smaller *** of the apple.	One of two usually roughly equal parts into which anything may be divided, or considered as divided.
step	86147277	He improved *** by ***, or by ***s.	A distinct part of a process; stage; phase.
wireless	85333514	Only about a hundred years ago, *** was a new technology.	The medium of radio communication.
whole	85202530	This variety of fascinating details didn't fall together into an enjoyable, coherent ***.	Something complete, without any parts missing.
basic	84840226	Rice is a *** for many Asian villagers.	A necessary commodity, a staple requirement.
corporate	84697675	McDonald's *** issued a new policy today.	A corporation that franchises, as opposed to than an individual franchise.
church	84556943	There is a lovely little *** in the valley.	A Christian house of worship; a building where Christian religious services take place.
method	84399520	If one *** doesn't work, you should ask a friend to help you.	A process by which a task is completed; a way of doing something (followed by the adposition of, to or for before the purpose of the process):
purchase	84333183	They offer a free hamburger with the *** of a drink.	The acquisition of title to, or property in, anything for a price; buying for money or its equivalent.
practice	84037810	He will need lots of *** with the lines before he performs them.	Repetition of an activity to improve a skill.
hardware	84002445	military ***	Equipment.
figure	83949754	a *** in bronze; a *** cut in marble	The representation of any form, as by drawing, painting, modelling, carving, embroidering, etc.; especially, a representation of the human body.
holiday	83671730	Today is a Wiccan ***!	A day on which a festival, religious event, or national celebration is traditionally observed.
death	83216831	The *** of my grandmother saddened the whole family.	The cessation of life and all associated processes; the end of an organism's existence as an entity independent from its environment and its return to an inert, nonliving state.
speed	83135749	How does Usain Bolt run at that ***?	The state of moving quickly or the capacity for rapid motion; rapidity.
loss	83015916	In other areas, glacier *** creates serious risk of a dry period across the Third Pole, Wang said.	The result of no longer possessing an object, a function, or a characteristic due to external causes or misplacement.
face	82807978	That girl has a pretty ***.	The front part of the head of a human or other animal, featuring the eyes, nose and mouth, and the surrounding area.
brand	82807581	To burn something to ***s and ashes.	A piece of burning wood or peat, or a glowing cinder.
discount	82646962	This store offers ***s on all its wares. That store specializes in *** wares, too.	A reduction in price.
remember	82222044	Please *** this formula!	To memorize; to put something into memory.
bit	82113875	A horse hates having a *** put in its mouth.	A piece of metal placed in a horse's mouth and connected to the reins to direct the animal.
advertise	81965610	For personal needs, *** on the internet or in a local newspaper.	To provide information about a person or goods and services to influence others.
kingdom	81913366	the *** of the dead	A realm, region, or conceptual space where something is dominant.
base	81894680	The logarithm to *** 2 of 8 is 3.	A number raised to the power of an exponent.
thought	81561217	Idly, the detective *** what his next move should be.	To ponder, to go over in one's head.
stuff	81444510	What is all that *** on your bedroom floor?  He didn't want his pockets to bulge so he was walking around with all his *** in his hands.	Miscellaneous items or objects; (with possessive) personal effects.
storage	81320471	There's a lot of *** space in the loft.	The act of storing goods; the state of being stored.
entry	80717798	Children are allowed *** only if accompanied by an adult.	Permission to enter.
stay	80694073	I hope you enjoyed your *** in Hawaii.	Continuance or a period of time spent in a place; abode for an indefinite time; sojourn.
nature	80659036	*** never lies (i.e. tells untruths).	The natural world; that which consists of all things unaffected by or predating human technology, production, and design. (Compare ecosystem.)
availability	80583907	What is your *** this week?	The quality of being available.
turn	80328029	They say they can *** the parts in two days.	(usually with over) To complete.
growth	79998480	*** was dampened by a softening of the global economy in 2001, but picked up in the subsequent years due to strong *** in China.	An increase in size, number, value, or strength.
agency	79915539	individual ***	The capacity of individuals to act independently and to make their own free choices.
king	79791224	Henry VIII was the *** of England from 1509 to 1547.	A male monarch; a man who heads a monarchy. If it's an absolute monarchy, then he is the supreme ruler of his nation.
activity	79633609	Pit row was abuzz with ***.	The state or quality of being active; activeness.
copy	79615682	That handbag is a ***. You can tell because the buckle is different.	An imitation, sometimes of inferior quality.
drug	79424420	Aspirin is a *** that reduces pain, acts against inflammation and lowers body temperature.	A substance used to treat an illness, relieve a symptom, or modify a chemical process in the body for a specific purpose.
force	79199815	the *** of an appeal, an argument, or a contract	Strength or energy of body or mind; active power; vigour; might; capacity of exercising an influence or producing an effect.
cash	79172952	After you bounced those checks last time, they want to be paid in ***.	Money in the form of notes/bills and coins, as opposed to cheques/checks or electronic transactions.
employment	79105156	The personnel director handled the whole *** procedure	A use, purpose
river	78843808	Occasionally ***s overflow their banks and cause floods.	A large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, oftentimes ending in another body of water, such as an ocean or in an inland sea.
commission	78817488	David received his *** after graduating from West Point.	An official charge or authority to do something, often used of military officers.
package	78421168	Did you test the software *** to ensure completeness?	Something which consists of various components, such as a piece of computer software.
engine	78078059	a graphics ***	A software or hardware system responsible for a specific technical task (usually with qualifying word).
administration	77515175	Successive US ***s have had similar Middle East policies.	A body that administers; the executive part of government; the persons collectively who are entrusted with the execution of laws and the superintendence of public affairs; the chief magistrate and his cabinet or council; or the council, or ministry, alone, as in Great Britain.
bar	77375075	The window was protected by steel ***s.	A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length.
institute	77353032	I work in a medical research ***.	An organization founded to promote a cause
dog	77271631	The *** barked all night long.	A mammal, Canis familiaris or Canis lupus familiaris, that has been domesticated for thousands of years, of highly variable appearance due to human breeding.
build	77203075	Rugby players are of sturdy ***.	The physique of a human body; constitution or structure of a human body.
screen	77183863	a fire ***	A physical divider intended to block an area from view, or provide shelter from something dangerous.
exchange	77079447	All in all, it was an even ***.	An act of exchanging or trading.
season	76445684	mating ***	A part of a year when something particular happens
apply	76341478	to *** cream to a rash	To lay or place; to put (one thing to another)
held	76100888	Hold the pencil like this.	To grasp or grip.
condition	75963033	Environmental protection is a *** for sustainability.   What other planets might have the right ***s for life?   The union had a dispute over sick time and other ***s of employment.	A requirement or requisite.
believe	75918053	I *** there are faeries.	To accept as true, particularly without absolute certainty (i.e., as opposed to knowing)
organization	75604082	This painting shows little *** at first glance, but little by little the structure becomes clear.	The quality of being organized.
effect	75594829	The *** of the hurricane was a devastated landscape.	The result or outcome of a cause.
mind	75393868	Despite advancing age, his *** was still as sharp as ever.	The ability for rational thought.
tour	74702459	On our last holiday to Spain we took a *** of the wine-growing regions.	A journey through a particular building, estate, country, etc.
volume	74283471	The room is 9x12x8, so its *** is 864 cubic feet.	A three-dimensional measure of space that comprises a length, a width and a height. It is measured in units of cubic centimeters in metric, cubic inches or cubic feet in English measurement.
cross	74230978	Put a *** for a wrong answer and a tick for a right one.	A geometrical figure consisting of two straight lines or bars intersecting each other such that at least one of them is bisected by the other.
